"Plant_id","ID","Plot","Plant_sp","Plant_sp_complete","N_flowers","Area_m2","Height_cm","sync_index_het","sync_index_con","Cover_con","Cover_het"
"8",8,"A","UPAR","Ulex_parviflorus",627,1.18,93,0.111889376675052,0.935353535353535,0,0.3125
"80",484,"E","ROFF","Rosmarinus_officinalis",1441,0.586,100,0.328241294524189,0.899558080808081,0.09375,0.625
"81",485,"E","ROFF","Rosmarinus_officinalis",3146,1.329,109,0.237031079703266,0.799265197060788,0.09375,0.40625
"82",486,"E","ROFF","Rosmarinus_officinalis",664,0.236,114,0.373516720604099,0.967206040992449,0.03125,0.71875
"83",487,"E","ROFF","Rosmarinus_officinalis",229,0.497,73,0.364054240404505,0.978748180494905,0,0.84375
"84",488,"E","ROFF","Rosmarinus_officinalis",748,0.406,73,0.378436063420584,0.979946524064171,0.03125,0.65625
"85",489,"E","ROFF","Rosmarinus_officinalis",1218,0.862,97,0.303599908863067,0.866048237476809,0.125,0.375
"86",490,"E","ROFF","Rosmarinus_officinalis",946,0.568,110,0.302687214865917,0.877026074700493,0,0.46875
"87",491,"E","ROFF","Rosmarinus_officinalis",383,0.688,84,0.338944620035729,0.971105308964317,0.03125,0.40625
"88",492,"E","ROFF","Rosmarinus_officinalis",1287,0.518,88,0.304606589940712,0.838432728320369,0,0.6875
"89",493,"E","ROFF","Rosmarinus_officinalis",889,0.286,93,0.277978410593413,0.943757030371204,0,0.46875
"9",9,"A","UPAR","Ulex_parviflorus",94,0.774,58,0.316845799517438,0.956028368794326,0,0.375
"90",494,"E","ROFF","Rosmarinus_officinalis",2264,0.972,105,0.29484320318397,0.828596262494568,0,0.3125
"91",599,"F","ROFF","Rosmarinus_officinalis",3598,1.172,170,0.289957655006271,0.958581380620646,0.09375,0.46875
"92",600,"F","ROFF","Rosmarinus_officinalis",1178,1.693,112,0.354281101235061,0.972722127900396,0.3125,0.03125
"93",601,"F","ROFF","Rosmarinus_officinalis",6470,1.985,137,0.296159346656129,0.956468330134357,0.09375,0.625
"94",602,"F","ROFF","Rosmarinus_officinalis",922,0.218,106,0.339521925907022,0.986261749819234,0.125,0.25
"95",603,"F","ROFF","Rosmarinus_officinalis",2308,1.257,133,0.230591803445815,0.92576545349509,0,0.125
"96",604,"F","ROFF","Rosmarinus_officinalis",2747,1.044,134,0.326416697002791,0.965756582938964,0,0.53125
"97",605,"F","ROFF","Rosmarinus_officinalis",1987,1.203,123,0.260985360555536,0.939343940286781,0.03125,0.125
"98",606,"F","ROFF","Rosmarinus_officinalis",4667,1.379,93,0.309026500084693,0.967510674213087,0,0.4375
"99",607,"F","ROFF","Rosmarinus_officinalis",1915,1.715,89,0.331816394179448,0.971117478510029,0,0.25
"X",636,"F","UPAR","Ulex_parviflorus",103,0.757,113,0.34586265253407,0.809466019417476,0.25,0.375
"Y",46,"A","SGEN","Stauracanthus_genistoides",367,0.728,102,0.388701540453773,0.94500866980431,0,0.9375
"Z",182,"B","CSAL","Cistus_salviifolius",0,0.006,84,0,0,0,0.96875
