"","Ancistrocerus_sp","Andrena_sp","Anthrenus_sp","Apis_mellifera","Bombus_terrestris","Bombylius_sp","Ceratina_sp","Chalicodoma_sicula","Chasmatopterus_sp","Chelostoma_sp","Chrysolina_americana","Dasypoda_sp","Deilus_sp","Diodontus_insidiosus","Diptera_sp1","Diptera_sp3","Diptera_sp4","Diptera_sp6","Diptera_sp7","Diptera_sp8","Episyrphus_sp","Eristalis_sp","Halictidae_sp1","Halictus_sp","Heliotaurus_ruficollis","Hylaeus_sp","Lasioglossum_sp1","Lasioglossum_sp2","Lasioglossum_sp3","Lasioglossum_sp6","Lindenius_luteiventris","Lobonyx_aeneus","Malachius_sp","Megachile_sp","Megachilidae_sp","Microlepidoptera","Mordellidae_sp","Mylabris_sp","Nitidulidae_sp1","Nomada_sp","Nustera_distigma","Oedemera_sp","Phthiria_sp","Phthiria_sp1","Rhyncomyia_cupraea","Scaeva_sp","Sphaerophoria_scripta","Syrphidae_sp3","Syrphidae_sp4","Syrphidae_sp5","Tiphia_morio","Usia_sp","Vespidae","Vespula_sp","Xylocopa_cantabrita","Plant_id","Plant_sp","N_flowers","Flowering_min","degree","specificity"
"408",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0100671140939597,0,0,0,0,0.0306186833838883,0,0,0,0.00311026451922651,0,0,0,0,0,0,0,0,0,0,0,0,0.0200891691408645,0,0,0,0,0,0,0,0,0,0,"408","CLIB",82,12600,4,0.293700908407851
"409",0,0,0.00426601171872004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0248838662016423,0,0,0.127712372208537,0,0,0,0,0,0,0,0,0,0,0.00426601171872004,0,0,0,0,0,0.00688139425489076,0,0.00423968343697004,0,0,0,0,0,0,0,0.0130031173879315,"409","CLIB",60,16800,7,0.490091365141791
"410",0,0,0.00532916849032976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0474321229964017,0,0,0,0,0,0,0,0,0,0,0,0,0.00165185457244353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"410","CLIB",47,12600,3,0.787031669397817
"411",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00228321703330352,0,0,0.0945933502730848,0,0,0,0,0.000695313586427479,0,0,0,0,0,0,0,0,0,0,0,0.00858576840558812,0,0,0,0,0,0,0,0,0,0.00347656793213739,"411","CLIB",106,12600,5,0.768708186928746
"412",0,0,0,0,0,0,0,0,0,0,0,0.0133689493305263,0,0.00292397660818713,0,0,0,0,0,0,0,0,0,0,0.000565254772481045,0,0,0.0204437398920942,0,0,0,0.00517341844590662,0,0,0,0,0,0,0,0,0,0,0.00584795321637427,0,0,0,0,0,0,0,0.0175489909330214,0,0,0,0.00990243936952349,"412","CLIB",158,12600,8,0
"413",0,0,0,0,6.80550782023419e-05,0,0,0,0,0,0,0.00286791651176377,0,0,0,0,0,0,0,0,0,0,0,0,0.000883796576590593,0,0,0.0400219661902474,0,0,0,0.000955972170587923,0,0,0,0,0,0,0,0,0,0,0,0,0.00350523129215572,0,0,0,0,0,0,0,0,0,0,"413","CLIB",417,21000,6,0.711243080566275
"414",0,0,0,0.00430215048822783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145900575906174,0,0.00725821085102522,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00215107524411391,0,0,0,0,0,0,0,0,0,0,0.00215107524411391,"414","CLIB",77,16800,5,0.832239778150907
"415",0,0,0,0,0,0,0,0,0.00110789002345034,0,0,0.0265893605628081,0,0.0138074959601614,0,0,0,0,0,0,0,0,0,0,0.00329625051503914,0,0,0.0675973869013199,0,0,0,0.000967461059692347,0,0,0,0,0,0,0,0,0.00988875154511743,0.00468796793318003,0,0,0.0282100662650158,0,0,0,0,0,0,0,0,0,0.0384113586156809,"415","CLIB",120,16800,10,0.0430390803771794
"416",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0623263116043493,0,0,0,0.0044272787287067,0,0,0,0,0,0,0.0044272787287067,0,0,0,0,0,0.000857424582362776,0,0,0,0,0,0,0,0,0,0,"416","CLIB",87,12600,4,0.772913093445213
"417",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0552971363012577,0,0,0,0.0680244622673039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"417","CLIB",33,16800,2,0.495194032727119
