"","Acmaeodera_sp","Andrena_sp","Apis_mellifera","Bombus_terrestris","Buprestidae_sp1","Buprestidae_sp2","Chasmatopterus_sp","Coptocephala_sp","Curculionidae","Dasypoda_sp","Diptera_sp1","Diptera_sp10","Diptera_sp4","Halictus_sp","Heliotaurus_ruficollis","Lasioglossum_sp2","Lasioglossum_sp3","Lasioglossum_sp4","Lasioglossum_sp6","Lobonyx_aeneus","Malachius_sp","Megachile_sp","Mordellidae_sp1","Mylabris_sp1","Nustera_distigma","Oedemera_sp","Osmia_sp","Paragus_tibialis","Phthiria_sp","Phthiria_sp1","Phthiria_sp2","Rhyncomyia_cupraea","Syritta_pipiens","Syrphidae_sp1","Tituboea_sp","Usia_sp","Vespula_sp","Xylocopa_cantabrita","Plant_id","Plant_sp","N_flowers","Flowering_min","degree","specificity"
"537",0,0,0,0,0,4.57718346197106e-05,0.0158911561375333,4.57718346197106e-05,4.98742767154481e-05,0,0,0,0,0,0.000437569183692231,0.0089483705671137,0,0,0,2.9542982601883e-05,0,0,0,0,0,0.000823045267489712,0,0,0.00135659575910067,3.74142756833735e-05,4.98742767154481e-05,0.000965344145187759,0.000965344145187759,0,0,1.45159177914055e-05,0,0,"537","HHAL",2000,37800,14,0.23566643878867
"538",0.00243684509787994,0,0,0,0.000514409449439454,0,0.0441155733788198,0.000171469816479818,0.000204342951182456,0,0,0,0,0,0,0.0279850746268657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"538","HHAL",236,21000,6,0.386279642754927
"539",0,0,0,0,0.00126222258937084,0,0.0554274828916672,0,0.000153769893737068,0,0,0,0,0,0.000436428833045395,0,0,0,0,0,0,0,0,0,0,0.00033685969784191,0,0,0,0,0,0,0,0,0,0,0,0,"539","HHAL",548,29400,5,0.924952040349793
"540",0,0,0,0,0.0012780062199778,0,0.0455286792053008,0.000158566712789712,4.26910380587685e-05,0.00405268490374873,0,0,0,0,0.00417049362062257,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000859106529209622,8.66642666966569e-05,0,0,0,0,0,0,0,0,"540","HHAL",504,29400,8,0.635766820384929
"541",0,0,0,0,0,0,0.327695466194271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"541","HHAL",44,25200,1,0.999999999999996
"543",0,0,0,0,0.0120321624881082,0,0.0273907533055429,0,0.00534762777249253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"543","HHAL",27,21000,3,0.356776083926512
"545",0,0,0,0,0.000182618376865117,0,0.0229414195877354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"545","HHAL",147,21000,2,0.984346844404709
"546",0,0,0,0.00141750141750142,0,0,0.0273655112972043,0.000666019962684543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00080832744881981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"546","HHAL",643,33600,4,0.813293286150837
"548",0.000287321618657765,0,0,0,0.000287321618657765,0,0.0561893814451678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00108932461873638,0,0.000135132367465853,0.00217864923747277,0,0,0,0,0,0,"548","HHAL",387,33600,6,0.87012844276697
"549",0,0,0,0,0,0,0.0310090351879994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000403338592398134,0,0,0,0.000869551832760854,0.00771539309413099,0,0,0,0,0,0,0,"549","HHAL",215,25200,4,0.599233615688667
